variant,dim,func,seed,best_fit,elapsed_s,explore_pct,mean_kappa,effective_threshold,n_explore_agents,err_at_10pct,err_at_25pct,err_at_50pct,err_at_75pct,err_at_100pct
ORC-SHADE,10,12,13,164.47351934602648,77.6,10.36,-0.1933,0.0,0,164.475026148677,164.47351934602648,164.47351934602648,164.47351934602648,164.47351934602648
ORC-SHADE,10,12,11,164.47351934602648,78.25,10.52,0.0,0.0,0,164.49740967111165,164.47351934602648,164.47351934602648,164.47351934602648,164.47351934602648
ORC-SHADE[no-orc],10,3,3,0.0,31.38,0.0,0.0,2.0,0,5.013589543523267e-11,0.0,0.0,0.0,0.0
ORC-SHADE,10,12,15,166.38750694155897,77.77,11.16,0.0,0.0,0,166.38766719830028,166.38750694155942,166.38750694155897,166.38750694155897,166.38750694155897
ORC-SHADE,10,12,12,166.38750694155942,79.02,10.97,-1.0,0.0,0,166.3880190170662,166.38750694155942,166.38750694155942,166.38750694155942,166.38750694155942
ORC-SHADE[no-orc],10,3,7,0.0,30.86,0.0,-0.0499,2.0,0,3.069544618483633e-12,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,3,1,0.0,33.21,0.0,0.0,2.0,0,3.979039320256561e-12,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,2,13,3.986579112347158,43.95,0.0,0.0,2.0,0,4.03854703343211,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE[no-orc],10,3,4,0.0,31.9,0.0,-0.1414,2.0,0,6.366462912410498e-12,0.0,0.0,0.0,0.0
ORC-SHADE,10,12,17,164.47351934602648,78.21,10.57,-0.9477,0.0,0,164.47649955623092,164.47351934602648,164.47351934602648,164.47351934602648,164.47351934602648
ORC-SHADE[no-orc],10,3,6,0.0,32.6,0.0,-0.0041,2.0,0,5.2864379540551454e-11,0.0,0.0,0.0,0.0
ORC-SHADE[no-orc],10,2,18,3.986579112347158,42.79,0.0,-0.0814,2.0,0,3.989804415842002,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
ORC-SHADE[no-orc],10,2,19,3.986579112347158,43.84,0.0,0.0,2.0,0,3.986772959178552,3.986579112347158,3.986579112347158,3.986579112347158,3.986579112347158
