variant,func,seed,best_fit,elapsed_s,explore_pct
"C:km=0,pe=0,k=10",9,1,4.547473508864641e-13,90.85,10.82
"C:km=0,pe=0,k=10",10,2,220.8726497489797,87.66,6.63
"C:km=0,pe=0,k=10",10,0,220.8726497489797,89.97,6.63
"C:km=0,pe=0,k=10",12,2,165.83767187153398,83.22,13.2
"C:km=0,pe=0,k=10",10,3,220.8726497489797,87.4,6.18
"B:km=.05,pe=.05,k=10",11,4,4.547473508864641e-13,116.02,10.13
NL-SHADE,8,4,0.42427553840343535,138.84,
NL-SHADE,8,3,0.19682702556383447,141.13,
NL-SHADE,8,1,0.3792533336722954,140.16,
"E:km=0,pe=.05,k=15",5,0,0.0,43.44,5.55
"E:km=0,pe=.05,k=15",5,1,0.0,43.46,5.25
"E:km=0,pe=.05,k=15",2,3,3.986579112347158,55.33,8.73
"E:km=0,pe=.05,k=15",5,3,0.0,46.87,5.3
"D:km=0,pe=.05,k=7",4,3,10.000000886142402,80.2,22.23
"D:km=0,pe=.05,k=7",11,3,0.0,67.21,10.69
"D:km=0,pe=.05,k=7",11,1,4.547473508864641e-13,68.17,10.37
"C:km=0,pe=0,k=10",6,1,0.4494458251826927,108.87,59.35
"D:km=0,pe=.05,k=7",10,4,220.8726497489797,69.72,7.16
"B:km=.05,pe=.05,k=10",12,3,164.47351934602648,123.63,13.19
"D:km=0,pe=.05,k=7",11,2,0.0,68.93,10.1
"C:km=0,pe=0,k=10",4,0,8.000012761695416,114.29,14.66
"E:km=0,pe=.05,k=15",5,4,0.0,48.61,4.93
"D:km=0,pe=.05,k=7",4,2,4.000000000001819,82.89,19.94
"D:km=0,pe=.05,k=7",4,4,12.000090114415343,82.65,22.69
"D:km=0,pe=.05,k=7",11,0,0.0,70.63,9.85
"D:km=0,pe=.05,k=7",6,2,0.45087554072847524,80.66,59.16
"C:km=0,pe=0,k=10",11,3,0.0,99.01,10.66
"D:km=0,pe=.05,k=7",12,2,165.46842172031893,72.64,11.08
"C:km=0,pe=0,k=10",11,0,4.547473508864641e-13,102.69,10.93
"E:km=0,pe=.05,k=15",4,2,6.000022776840638,60.83,6.91
NL-SHADE,7,1,6.821210263296962e-12,157.08,
"D:km=0,pe=.05,k=7",12,1,166.38750694155897,76.16,10.88
"B:km=.05,pe=.05,k=10",7,0,5.38807398697827e-09,158.62,26.77
"D:km=0,pe=.05,k=7",12,4,166.38750694155897,75.69,12.42
"A:km=0,pe=.05,k=10",7,2,2.039832907030359e-07,159.3,30.79
"D:km=0,pe=.05,k=7",11,4,0.0,80.74,10.29
"B:km=.05,pe=.05,k=10",7,4,3.627670230343938e-05,162.87,26.48
"C:km=0,pe=0,k=10",12,1,165.46842172031893,107.5,12.4
NL-SHADE,7,3,3.183231456205249e-12,163.31,
"E:km=0,pe=.05,k=15",9,1,4.547473508864641e-13,55.52,11.08
"C:km=0,pe=0,k=10",12,4,164.4735193460274,110.74,14.52
"C:km=0,pe=0,k=10",12,3,164.47351934602648,111.89,14.0
"D:km=0,pe=.05,k=7",12,3,164.47351934602648,85.45,9.53
"E:km=0,pe=.05,k=15",9,4,4.547473508864641e-13,54.89,10.99
"D:km=0,pe=.05,k=7",12,0,164.47351934602648,88.91,11.0
"E:km=0,pe=.05,k=15",9,3,0.0,55.2,10.88
"E:km=0,pe=.05,k=15",10,2,222.17440007749428,54.65,6.8
"E:km=0,pe=.05,k=15",10,4,220.8726497489797,54.13,6.68
NL-SHADE,8,0,0.16987579498118066,171.3,
"E:km=0,pe=.05,k=15",10,0,220.8726497489797,58.34,5.99
"E:km=0,pe=.05,k=15",9,2,0.0,60.31,11.17
