algorithm,dataset,budget,trial,best_accuracy,best_fitness,n_queries,elapsed_s,is_real_data
Tabu,cifar10,200,57,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,55,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,85,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,82,80.0663,19.9337,200,0.007,False
Tabu,cifar10,200,88,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,84,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,79,80.0663,19.9337,200,0.055,False
Tabu,cifar10,200,86,80.0663,19.9337,200,0.003,False
ORC-RE,cifar10,100,31,75.0473,24.9527,100,15.163,False
Tabu,cifar10,200,87,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,89,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,90,80.0663,19.9337,200,0.008,False
Tabu,cifar10,200,65,80.0663,19.9337,200,0.009,False
Tabu,cifar10,200,93,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,92,98.9577,1.0423,200,0.006,False
Tabu,cifar10,200,94,80.0663,19.9337,200,0.006,False
Tabu,cifar10,200,73,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,96,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,99,80.0663,19.9337,200,0.002,False
Tabu,cifar10,200,72,80.0663,19.9337,200,0.01,False
Tabu,cifar10,200,98,80.0663,19.9337,200,0.046,False
Tabu,cifar10,200,83,80.0663,19.9337,200,0.045,False
Tabu,cifar10,200,71,80.0663,19.9337,200,0.011,False
Tabu,cifar10,200,95,80.0663,19.9337,200,0.005,False
Tabu,cifar10,200,62,80.0663,19.9337,200,0.002,False
ORC-RE,cifar10,100,26,80.0663,19.9337,100,15.742,False
ORC-RE,cifar10,100,63,74.9839,25.0161,100,15.477,False
ORC-RE,cifar10,100,97,80.0663,19.9337,100,15.169,False
ORC-RE,cifar10,100,54,74.9734,25.0266,100,15.676,False
ORC-RE,cifar10,100,85,75.0263,24.9737,100,15.407,False
ORC-RE,cifar10,100,12,80.0663,19.9337,100,16.417,False
ORC-RE,cifar10,100,14,80.0663,19.9337,100,16.808,False
ORC-RE,cifar10,100,72,80.0663,19.9337,100,16.789,False
ORC-RE,cifar10,100,1,80.0663,19.9337,100,16.976,False
ORC-RE,cifar10,100,59,78.0293,21.9707,100,17.119,False
ORC-RE,cifar10,100,71,74.9734,25.0266,100,16.925,False
ORC-RE,cifar10,100,4,80.0663,19.9337,100,17.442,False
ORC-RE,cifar10,100,89,80.0663,19.9337,100,16.827,False
ORC-RE,cifar10,100,34,75.004,24.996,100,17.471,False
ORC-RE,cifar10,100,18,80.0663,19.9337,100,17.723,False
ORC-RE,cifar10,100,70,80.0663,19.9337,100,17.19,False
ORC-RE,cifar10,100,64,75.0088,24.9912,100,18.095,False
ORC-RE,cifar10,100,40,80.0663,19.9337,100,18.107,False
ORC-RE,cifar10,100,88,80.0663,19.9337,100,17.982,False
ORC-RE,cifar10,100,61,75.0263,24.9737,100,18.281,False
ORC-RE,cifar10,100,30,80.0663,19.9337,100,18.689,False
ORC-RE,cifar10,100,80,80.0663,19.9337,100,18.009,False
ORC-RE,cifar10,100,87,75.0069,24.9931,100,18.298,False
ORC-RE,cifar10,100,6,80.0663,19.9337,100,19.207,False
ORC-RE,cifar10,100,39,78.0293,21.9707,100,18.913,False
ORC-RE,cifar10,100,20,78.0293,21.9707,100,19.014,False
ORC-RE,cifar10,100,50,80.0663,19.9337,100,19.517,False
ORC-RE,cifar10,100,29,75.0109,24.9891,100,19.512,False
ORC-RE,cifar10,100,47,80.0663,19.9337,100,19.409,False
ORC-RE,cifar10,100,77,80.0663,19.9337,100,19.384,False
ORC-RE,cifar10,100,2,80.0663,19.9337,100,20.116,False
ORC-RE,cifar10,100,19,80.0663,19.9337,100,20.439,False
ORC-RE,cifar10,100,7,75.0473,24.9527,100,20.818,False
ORC-RE,cifar10,100,92,82.0162,17.9838,100,20.615,False
ORC-RE,cifar10,100,57,80.0663,19.9337,100,21.207,False
ORC-RE,cifar10,100,28,78.0293,21.9707,100,21.264,False
ORC-RE,cifar10,100,32,75.0015,24.9985,100,21.307,False
ORC-RE,cifar10,100,13,80.0663,19.9337,100,21.725,False
ORC-RE,cifar10,100,16,74.9734,25.0266,100,22.219,False
ORC-RE,cifar10,100,84,75.0473,24.9527,100,21.705,False
ORC-RE,cifar10,100,60,80.0663,19.9337,100,22.3,False
ORC-RE,cifar10,100,41,75.004,24.996,100,22.132,False
ORC-RE,cifar10,100,68,75.0473,24.9527,100,22.676,False
ORC-RE,cifar10,100,3,75.0764,24.9236,100,23.212,False
ORC-RE,cifar10,100,24,80.0663,19.9337,100,23.019,False
ORC-RE,cifar10,100,46,74.9954,25.0046,100,25.151,False
ORC-RE,cifar10,100,93,75.0473,24.9527,100,26.766,False
ORC-RE,cifar10,100,66,80.0663,19.9337,100,27.402,False
ORC-RE,cifar10,200,14,89.9837,10.0163,200,42.833,False
